price,area,status,bhk,bathroom,age,location,builder
37.49,872,Ready to move,2,,1,Sembakkam,MP Developers
93.54,1346,Under Construction,3,2,,Selaiyur,DAC Promoters
151,2225,Under Construction,3,,0,Mogappair,Casagrand Builder Private Limited
49,1028,Ready to move,2,2,3,Ambattur,Dugar Housing Builders
42.28,588,Under Construction,2,1,0,Pallavaram,Radiance Realty Developers India Ltd
188,2221,Under Construction,3,3,0,Virugambakkam,Traventure Homes Pvt Ltd
38,885,Under Construction,3,,0,Thirumazhisai,Urbanrise
72.99,936,Ready to move,3,,6,Moolakadai,Navin Housing Properties P LTD
125,2275,Ready to move,4,,1,Ottiyambakkam,Jones foundation private limited
24.56,622,Under Construction,2,,0,Perungalathur,Isha Homes
67.87,1305,Under Construction,3,,0,Gerugambakkam,Kochar Homes Pvt Ltd
240,1500,Ready to move,3,3,1,Anna Nagar,Pushkar Properties Pvt Ltd
407,2200,Under Construction,3,,0,Gopalapuram,Pushkar Properties Pvt Ltd
51.46,919,Under Construction,2,,0,Pammal,Asset Tree Homes
69.47,965,Under Construction,2,,0,Porur,Urban Tree Infrastructures
113,2343,Ready to move,4,4,5,Navallur,Olympia Group
18,353,Under Construction,1,,0,Thirumazhisai,Vijay Raja Homes Private Limited
224,1450,Under Construction,3,,0,Anna Nagar,Kamalam Builder Pvt Ltd
100,1833,Ready to move,3,,,Sholinganallur,Appaswamy Real Estate
45.99,920,Under Construction,2,,0,Vanagaram,VNR Homes
73.75,1405,Under Construction,3,,0,Sholinganallur,PS Srijan Developers
455,2601,Under Construction,4,,0,T Nagar,Lifestyle Housing
391,2475,Under Construction,4,,0,Guindy,Puravankara Limited
80.73,1242,Under Construction,2,,0,Madipakkam,Jones Foundations
31.96,969,Ready to move,2,,1,Perumbakkam,Plaza Group
81.3,937,Under Construction,2,,0,Velachery,Urbando Housing LLP
72.05,1310,Under Construction,3,,0,Medavakkam,EK Realtors
91.36,1340,Ready to move,3,,2,Gowrivakkam,The Nest Builder
50.76,1045,Ready to move,2,2,1,Chromepet,Doshi Housing
62.75,1004,Under Construction,2,,0,Sholinganallur,Grandstyle constructions
57.5,920,Under Construction,2,1,0,Ambattur,vinoth builders
50.22,1005,Ready to move,2,,1,Thalambur,GTK Foundations
22.36,713,Under Construction,2,,0,Thandalam,Baashyaam Group
19.8,900,Ready to move,2,,1,Thirumazhisai,chris
84.13,1325,Under Construction,2,,0,Medavakkam,Krishna Constructions
58.43,1113,Under Construction,2,,0,Ayanambakkam,AKS Housing Dedvelopment Pvt Ltd
330,3670,Ready to move,3,,3,Kanathur Reddikuppam,Mayances Construction and Engineering Services
80.32,1208,Ready to move,2,,4,Madipakkam,Ramaniyam Real Estate Builders
290,1600,Under Construction,3,,0,Adyar,India Builders Limited
40.02,870,Ready to move,2,,3,Kolapakkam,Ram
42.07,1275,Under Construction,3,,0,Thaiyur,Shatapatri Estates Pvt Ltd
48.61,884,Ready to move,2,,1,Thoraipakkam OMR,Shri Raman Developers
49.12,1092,Under Construction,2,,0,Poonamallee,Sri Hari Developers
42.28,588,Under Construction,2,1,0,Pallavaram,Radiance Realty Developers
50.21,1152,Ready to move,2,3,1,Padur,Pacifica Companies
40.75,910,Under Construction,2,,0,Perumbakkam,BSCPL Infrastructure Ltd
261,1548,Ready to move,3,,1,Adyar,Khurinji Homes
47.04,920,Under Construction,2,2,0,Perumbakkam,Saradeuz Realty Constructions
45.79,669,Ready to move,2,,1,East Tambaram,VGK Builders Pvt Ltd
33.77,866,Under Construction,2,,0,Chromepet,Amarprakash Developers Pvt Ltd
65.69,1381,Ready to move,3,,,Tiruvottiyur,Hansa Estates
118,1740,Ready to move,3,,4,Iyappanthangal,Prince Foundations Ltd
50.31,1450,Ready to move,3,,1,Padappai,Budget Housing And Properties
78.71,1212,Under Construction,2,,0,Porur,SP Homes Pvt Ltd
29.62,528,Ready to move,2,,1,Pammal,Bharathi Construction
88.27,1605,Under Construction,3,,0,Mugalivakkam,Karuppaswamy Builders
43.44,932,Under Construction,2,2,0,Pammal,Merlin Group
33.05,1002,Ready to move,2,,3,Kelambakkam,Advaita Homes
29.56,768,Under Construction,2,,0,Thirumullaivoyal,Swamaan Developers
88.39,1637,Ready to move,3,,1,Poonamallee,Poojaa Foundation
658,6103,Ready to move,4,,5,Sholinganallur,Prestige Estates Projects Ltd
33.23,773,Ready to move,2,,1,Sembakkam,MP Developers
84.79,1220,Under Construction,3,3,,Selaiyur,DAC Promoters
134,1974,Under Construction,3,,0,Mogappair,Casagrand Builder Private Limited
67,1195,Ready to move,3,,3,Ambattur,Dugar Housing Builders
71.08,1021,Under Construction,2,1,0,Pallavaram,Radiance Realty Developers India Ltd
188,2221,Under Construction,3,3,0,Virugambakkam,Traventure Homes Pvt Ltd
31,730,Under Construction,2,,0,Thirumazhisai,Urbanrise
83.03,1101,Ready to move,3,,6,Moolakadai,Navin Housing Properties P LTD
146,2669,Ready to move,4,,1,Ottiyambakkam,Jones foundation private limited
20.14,510,Under Construction,1,,0,Perungalathur,Isha Homes
76.2,1480,Under Construction,3,,0,Gerugambakkam,Kochar Homes Pvt Ltd
240,1500,Under Construction,3,,0,Anna Nagar,Pushkar Properties Pvt Ltd
51.46,919,Under Construction,2,,0,Pammal,Asset Tree Homes
66.44,923,Under Construction,2,2,0,Porur,Urban Tree Infrastructures
112,2323,Ready to move,4,,5,Navallur,Olympia Group
29,544,Under Construction,1,,0,Thirumazhisai,Vijay Raja Homes Private Limited
158,1025,Under Construction,2,,0,Anna Nagar,Kamalam Builder Pvt Ltd
108,1972,Ready to move,3,,,Sholinganallur,Appaswamy Real Estate
45.99,920,Under Construction,2,,0,Vanagaram,VNR Homes
73.99,1410,Under Construction,3,,0,Sholinganallur,PS Srijan Developers
644,3681,Under Construction,4,4,0,T Nagar,Lifestyle Housing
593,3750,Under Construction,5,,0,Guindy,Puravankara Limited
89.7,1380,Under Construction,3,,0,Madipakkam,Jones Foundations
39.75,1205,Ready to move,3,2,1,Perumbakkam,Plaza Group
81.7,942,Under Construction,2,,0,Velachery,Urbando Housing LLP
51.64,939,Under Construction,2,,0,Medavakkam,EK Realtors
64.34,945,Ready to move,2,,2,Gowrivakkam,The Nest Builder
37.4,770,Ready to move,2,,1,Chromepet,Doshi Housing
62.75,1004,Under Construction,2,,0,Sholinganallur,Grandstyle constructions
89.37,1430,Under Construction,3,,0,Ambattur,vinoth builders
64.82,1297,Ready to move,3,,1,Thalambur,GTK Foundations
20.88,663,Under Construction,2,,0,Thandalam,Baashyaam Group
19.8,900,Ready to move,2,,1,Thirumazhisai,chris
84.13,1325,Under Construction,2,,0,Medavakkam,Krishna Constructions
54.96,1047,Under Construction,2,,0,Ayanambakkam,AKS Housing Dedvelopment Pvt Ltd
440,4896,Ready to move,4,,3,Kanathur Reddikuppam,Mayances Construction and Engineering Services
96.32,1481,Ready to move,3,,4,Madipakkam,Ramaniyam Real Estate Builders
242,1565,Ready to move,3,,2,Anna Nagar,India Builders Limited
48.53,1055,Ready to move,2,,3,Kolapakkam,Ram
79.92,1150,Under Construction,2,2,,Selaiyur,DAC Promoters
71.65,1031,Under Construction,2,2,,Selaiyur,DAC Promoters
58.48,951,Under Construction,2,,0,Chromepet,DAC Promoters
64.82,1054,Under Construction,2,,0,Chromepet,DAC Promoters
84.87,1380,Under Construction,3,,0,Chromepet,DAC Promoters
72.81,1184,Under Construction,2,,0,Chromepet,DAC Promoters
76.75,1248,Under Construction,2,,0,Chromepet,DAC Promoters
59.65,970,Under Construction,2,,0,Chromepet,DAC Promoters
88.19,1434,Under Construction,3,,0,Chromepet,DAC Promoters
22.27,518,Ready to move,1,,1,Sembakkam,MP Developers
42.91,998,Ready to move,2,,1,Sembakkam,MP Developers
50.21,844,Under Construction,2,,0,Mugalivakkam,MP Developers
55.39,931,Under Construction,2,,0,Mugalivakkam,MP Developers
71.28,1004,Under Construction,2,,0,East Tambaram,DAC Promoters
72.42,1020,Under Construction,2,,0,East Tambaram,DAC Promoters
94,1324,Under Construction,3,,0,East Tambaram,DAC Promoters
86.9,1224,Under Construction,3,,0,East Tambaram,DAC Promoters
77.81,1096,Under Construction,2,,0,East Tambaram,DAC Promoters
94.78,1335,Under Construction,3,,0,East Tambaram,DAC Promoters
73.48,1035,Under Construction,2,,0,East Tambaram,DAC Promoters
114,1572,Under Construction,3,,0,Selaiyur,DAC Promoters
119,1643,Under Construction,3,,0,Selaiyur,DAC Promoters
118,1625,Under Construction,3,,0,Selaiyur,DAC Promoters
159,2295,Under Construction,4,,0,Selaiyur,DAC Promoters
101,1760,Under Construction,3,,0,Selaiyur,DAC Promoters
175,2544,Under Construction,4,,0,Selaiyur,DAC Promoters
115,1630,Under Construction,3,3,0,Selaiyur,DAC Promoters
121,1671,Under Construction,3,,0,Selaiyur,DAC Promoters
122,1735,Under Construction,3,,0,Selaiyur,DAC Promoters
152,2183,Under Construction,4,,0,Selaiyur,DAC Promoters
160,2242,Under Construction,4,,0,Selaiyur,DAC Promoters
134,1852,Under Construction,3,,0,Selaiyur,DAC Promoters
129,1797,Under Construction,3,,0,Selaiyur,DAC Promoters
165,2433,Under Construction,4,,0,Mogappair,Casagrand Builder Private Limited
169,2495,Under Construction,4,,0,Mogappair,Casagrand Builder Private Limited
327,4450,Under Construction,5,,0,Mogappair,Casagrand Builder Private Limited
133,1962,Under Construction,3,,0,Mogappair,Casagrand Builder Private Limited
64.17,1310,Under Construction,3,,0,Madhavaram,Radiance Realty Developers India Ltd
76.47,1561,Under Construction,3,,0,Madhavaram,Radiance Realty Developers India Ltd
81.71,1668,Under Construction,3,,0,Madhavaram,Radiance Realty Developers India Ltd
51.58,1053,Under Construction,2,,0,Madhavaram,Radiance Realty Developers India Ltd
48.59,992,Under Construction,2,,0,Madhavaram,Radiance Realty Developers India Ltd
63.34,1293,Under Construction,3,,0,Madhavaram,Radiance Realty Developers India Ltd
76.47,1561,Under Construction,3,,0,Madhavaram,Radiance Realty Developers India Ltd
63.83,1303,Under Construction,3,,0,Madhavaram,Radiance Realty Developers India Ltd
57.41,1172,Under Construction,2,,0,Madhavaram,Radiance Realty Developers India Ltd
48.74,995,Under Construction,2,,0,Madhavaram,Radiance Realty Developers India Ltd
62.31,1272,Under Construction,3,,0,Madhavaram,Radiance Realty Developers India Ltd
82,1674,Under Construction,3,,0,Madhavaram,Radiance Realty Developers India Ltd
62.7,1280,Under Construction,3,2,0,Madhavaram,Radiance Realty Developers India Ltd
74.56,1522,Under Construction,3,,0,Madhavaram,Radiance Realty Developers India Ltd
94.51,1400,Under Construction,3,2,0,Pallavaram,Radiance Realty Developers India Ltd
64.17,1310,Under Construction,3,,0,Madhavaram,Radiance Realty Developers India Ltd
69.66,1422,Under Construction,3,,0,Madhavaram,Radiance Realty Developers India Ltd
48.69,994,Under Construction,2,,0,Madhavaram,Radiance Realty Developers India Ltd
73.82,1085,Under Construction,2,,0,Pallavaram,Radiance Realty Developers India Ltd
40.09,853,Under Construction,2,,0,Kundrathur,MP Developers
38.49,819,Under Construction,2,,0,Kundrathur,MP Developers
38.77,825,Under Construction,2,,0,Kundrathur,MP Developers
38.72,824,Under Construction,2,,0,Kundrathur,MP Developers
69.66,1422,Under Construction,3,,0,Madhavaram,Radiance Realty Developers India Ltd
48.69,994,Under Construction,2,,0,Madhavaram,Radiance Realty Developers India Ltd
48.59,992,Under Construction,2,,0,Madhavaram,Radiance Realty Developers India Ltd
63.34,1293,Under Construction,3,,0,Madhavaram,Radiance Realty Developers India Ltd
63.83,1303,Under Construction,3,,0,Madhavaram,Radiance Realty Developers India Ltd
57.41,1172,Under Construction,2,,0,Madhavaram,Radiance Realty Developers India Ltd
48.74,995,Under Construction,2,,0,Madhavaram,Radiance Realty Developers India Ltd
62.31,1272,Under Construction,3,,0,Madhavaram,Radiance Realty Developers India Ltd
62.7,1280,Under Construction,3,2,0,Madhavaram,Radiance Realty Developers India Ltd
63,1286,Under Construction,3,,0,Madhavaram,Radiance Realty Developers India Ltd
49.43,1009,Under Construction,2,,0,Madhavaram,Radiance Realty Developers India Ltd
80.37,1576,Ready to move,3,,1,Kundrathur,MP Developers
78.89,1547,Ready to move,3,,1,Kundrathur,MP Developers
80.68,1582,Ready to move,3,,1,Kundrathur,MP Developers
70.89,1390,Ready to move,3,,1,Kundrathur,MP Developers
74.15,1454,Ready to move,3,,1,Kundrathur,MP Developers
70.94,1391,Ready to move,3,,1,Kundrathur,MP Developers
79.66,1562,Ready to move,3,,1,Kundrathur,MP Developers
188,2221,Under Construction,3,3,0,Virugambakkam,Traventure Homes Pvt Ltd
188,2221,Under Construction,3,3,0,Virugambakkam,Traventure Homes Pvt Ltd
36,849,Under Construction,2,,0,Thirumazhisai,Urbanrise
57,1240,Under Construction,2,,0,Perumbakkam,Casagrand Builder Private Limited
110,2320,Under Construction,4,,0,Perumbakkam,Casagrand Builder Private Limited
62.6,1360,Under Construction,3,2,0,Perumbakkam,Casagrand Builder Private Limited
90.29,1962,Under Construction,3,3,0,Perumbakkam,Casagrand Builder Private Limited
138,2211,Under Construction,4,2,0,Mogappair,Casagrand Builder Private Limited
